,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.location.neighborhood,venue.venuePage.id,Station,LINE
0,e-0-4e4c3e35d22d10a6c5c916d1-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e4c3e35d22d10a6c5c916d1,NSA Supermarkets,4010 Boston Rd,40.88416290283203,-73.8317642211914,"[{'label': 'display', 'lat': 40.88416290283203, 'lng': -73.8317642211914}]",467,10475,US,Bronx,NY,United States,"['4010 Boston Rd (at Shopwell Plz)', 'Bronx, NY 10475', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],at Shopwell Plz,,,,,,,,,Eastchester - Dyre Ave,5
1,e-0-5a4d245616fa044e9c6a9728-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5a4d245616fa044e9c6a9728,S.Y. West Indian Supermarket,4018B Boston Rd,40.883975982666016,-73.83177185058594,"[{'label': 'display', 'lat': 40.883975982666016, 'lng': -73.83177185058594}]",487,10475,US,Bronx,NY,United States,"['4018B Boston Rd', 'Bronx, NY 10475', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Eastchester - Dyre Ave,5
2,e-0-4dd85362e4cd37c893c2e3e4-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4dd85362e4cd37c893c2e3e4,Sunshine Supermarket,3830 Dyre Ave,40.888888,-73.831019,"[{'label': 'display', 'lat': 40.888888, 'lng': -73.831019}, {'label': 'entrance', 'lat': 40.888872, 'lng': -73.831145}]",67,10466,US,Bronx,NY,United States,"['3830 Dyre Ave (E 233 St)', 'Bronx, NY 10466', 'United States']","[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",0,[],E 233 St,,,,,,,,,Eastchester - Dyre Ave,5
0,e-0-53e25509498ea226de666f12-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",53e25509498ea226de666f12,Ideal Food Basket,175-35 Hillside Ave,40.712064710524366,-73.78680392517187,"[{'label': 'display', 'lat': 40.712064710524366, 'lng': -73.78680392517187}]",260,11432,US,Queens,NY,United States,"['175-35 Hillside Ave', 'Queens, NY 11432', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Jamaica - 179th St,F
1,e-0-4c2675ce5c5ca5931b3946fe-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c2675ce5c5ca5931b3946fe,Key Food,18314 Hillside Ave,40.71382998636689,-73.77827407337176,"[{'label': 'display', 'lat': 40.71382998636689, 'lng': -73.77827407337176}]",485,11432,US,Jamaica,NY,United States,"['18314 Hillside Ave', 'Jamaica, NY 11432', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Jamaica - 179th St,F
2,e-0-5916416428122f3528c38821-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5916416428122f3528c38821,Bismillah Supermarket,,40.712955,-73.78138,"[{'label': 'display', 'lat': 40.712955, 'lng': -73.78138}]",208,11423,US,Queens,NY,United States,"['Queens, NY 11423', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Jamaica - 179th St,F
3,e-0-4dfb8073d4c01451df58d581-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4dfb8073d4c01451df58d581,Pioneer Supermarket,175-35 Hillside Ave,40.71219404925528,-73.78672107882294,"[{'label': 'display', 'lat': 40.71219404925528, 'lng': -73.78672107882294}]",250,11432,US,Jamaica,NY,United States,"['175-35 Hillside Ave', 'Jamaica, NY 11432', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Jamaica - 179th St,F
0,e-0-4b58dd9df964a520a76f28e3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b58dd9df964a520a76f28e3,Fine Fare,4725 White Plains Rd,40.904046,-73.850234,"[{'label': 'display', 'lat': 40.904046, 'lng': -73.850234}, {'label': 'entrance', 'lat': 40.904028, 'lng': -73.850062}]",107,10470,US,Bronx,NY,United States,"['4725 White Plains Rd (E 241st St)', 'Bronx, NY 10470', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],E 241st St,,,,,,,,,Wakefield - 241st St,2
0,e-0-4b4fc2bbf964a520681427e3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b4fc2bbf964a520681427e3,Foodtown,905 Franklin Ave,40.66761578958023,-73.9590254905614,"[{'label': 'display', 'lat': 40.66761578958023, 'lng': -73.9590254905614}, {'label': 'entrance', 'lat': 40.667652, 'lng': -73.958933}]",304,11225,US,Brooklyn,NY,United States,"['905 Franklin Ave (At Crown St)', 'Brooklyn, NY 11225', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],At Crown St,,,,,,,,,Botanic Garden,S
1,e-0-4adc5f62f964a520e62b21e3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4adc5f62f964a520e62b21e3,Fishers Supermarket,805 Franklin Ave,40.67131805419922,-73.95759582519531,"[{'label': 'entrance', 'lat': 40.671337, 'lng': -73.957593}, {'label': 'display', 'lat': 40.67131805419922, 'lng': -73.95759582519531}]",176,11238,US,Brooklyn,NY,United States,"['805 Franklin Ave', 'Brooklyn, NY 11238', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,,,Botanic Garden,S
